MYNamespaceID,MYObjectID,MZDateEdited,MYCollectionID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],MYDatasetID[4],MYDatasetID[5],MYStatus,MYOriginalSpecimenID,MYVerificationStatus[0],MYDocumentLocation,MYPublication[0],MYPublication[1],MYSeparatedFrom,MYPreservation[0],MYPreservation[1],MYLanguage,MYDNASampleLocation,MYGathering[0][MYLeg][0],MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYHabitatDescription],MYGathering[0][MYNotes],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYCoordinateSystem],MYGathering[0][MYCoordinateSource],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateNotes],MYGathering[0][MYCountry],MYGathering[0][MYAdministrativeProvince],MYGathering[0][MYDateVerbatim],MYGathering[0][MYMunicipality],MYGathering[0][MYLocality],MYGathering[0][MYSamplingMethod],MYGathering[0][MYLocalityDescription],MYGathering[0][MYCollectingEventName],MYGathering[0][MYUnit][0][MYRecordBasis],MYGathering[0][MYUnit][0][MYLifeStage],MYGathering[0][MYUnit][0][MYSex],MYGathering[0][MYUnit][0][MYNotes],MYGathering[0][MYUnit][0][MYCount],MYGathering[0][MYUnit][0][MYMacroscopy],MYGathering[0][MYUnit][0][MYMeasurement][MYBodyMillimeters][0],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxonRank],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYUnit][0][MYIdentification][0][MYAuthor],MYGathering[0][MYUnit][0][MYIdentification][0][MYDet],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeStatus],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeSpecies],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeAuthor],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypifDate],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeVerification],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeBasionymePubl],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypePubl]
Namespace ID,Object ID,MZDateEdited,Collection,Tags,Tags,Tags,Tags,Tags,Tags,Status,Original catalogue number,Verification status,Specimen location,Publications,Publications,Separated from specimen,Preservation,Preservation,Main language of this data,DNA sample location,1. Leg,1. Start date,1. End date,1. Habitat description,1. Notes,1. Lat (N),1. Lon (E),1. Coordinate system,1. Coord source,1. Alt in meters,1. Coordinate notes,1. Country,1. Administrative province,1. Verbatim date from original source,1. Municipality,1. Locality names,1. Sampling method,1. Locality description,1. Collecting event name,1.1. Record type,1.1. Life stage,1.1. Sex,1.1. Notes,1.1. Count,1.1. Macroscopic characters,1.1. Body (mm),1.1.1. Taxon rank,1.1.1. Species,1.1.1. Taxon author,1.1.1. Det.,1.1.1. Type of type,1.1.1. Type name,1.1.1. Type author,1.1.1. Typifier date,1.1.1. Verification,1.1.1. Original description publication,1.1.1. Type publication
utu:ZMUT,53,2022-07-24T22:07:30+0300,HR.1648,GX.1930,GX.1931,GX.1973,GX.1991,GX.1998,,Ok,R93T1-141007-001,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.R93T1-141007,Pinned,,english,Left middle leg placed in tube with 96% ethanol and frozen,"Hopkins, Tapani",23.09.2014,07.10.2014,"Regenerating forest, former plantation that was logged and left to regenerate to rainforest (clear cut 1987-1994). 

Trap site description:
Semi-closed canopy forest with fairly dense undergrowth (Aframomum sp., ferns etc.).

Original trap site description (verbatim as written in Uganda 2014): 
Trap in old successional forest. Quite tall trees (30m?) though slender, and lots of undergrowth still present. Trap by the side of a natural 'passage'. May consider moving it by a few metres depending on what the catch is.",,0.565347,30.3568,Wgs84,Gps,1506.482788,,Uganda,Kabarole district,23.09.2014 11:18 - 07.10.2014 11:51,Fort Portal,Kibale National Park,Malaise,"Site R93, Malaise trap R93T1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,"Notes written in Uganda: (Actually a female Rhyssinae, probably of the same species as the males A201, A202, A214, A215. Took this one separate to check if the same sp.)",1,antenna segments: 34; T1: 2.4,17,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1249,2022-07-24T22:05:19+0300,HR.1648,GX.1930,GX.1931,GX.1957,GX.1986,GX.1998,,Ok,CCT1-150324-008,Ok,172/20/BOX2,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT1-150324,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",10.03.2015,24.03.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Tall closed canopy primary forest on a mild slope towards the river. Red clay underfoot. Fallen trees allowed some light to reach the forest floor, resulting in a lush undergrowth around the trap and large amounts of decaying wood. The trap was next to a large fallen tree (Fagara macrophylla 48cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
Trap by large fallen tree trunk (quite solid wood), CC slopes. Fairly closed canopy except round trap where fallen tree has opened the canopy a bit.Trap spans a passage in the undergrowth which crosses the trunk, and is touching the trunk at one end, Quite a few insects were flying along this route. This is also waypoint 187: CC slope. Lots of tall trees of varying kinds, but also fallen trunks and a surprising amount of light reaching the ground. As a result, also lots of saplings and undergrowth - some of the plants I haven’t seen elsewhere. Some insects flying, and there was also a kääpä (bracket fungus?) with flies landing and mating. Photos taken of the site and of the flies, plus a video of the flies.",,0.549693,30.367301,Wgs84,Gps,1454.192017,,Uganda,Kabarole district,10.03.2015 09:30 - 24.03.2015 09:30,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,antenna segments: 41; T1: 1.7,22.4,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1250,2022-07-24T22:07:30+0300,HR.1648,GX.1930,GX.1931,GX.1957,GX.1986,GX.1998,,Ok,CCT1-150324-009,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT1-150324,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",10.03.2015,24.03.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Tall closed canopy primary forest on a mild slope towards the river. Red clay underfoot. Fallen trees allowed some light to reach the forest floor, resulting in a lush undergrowth around the trap and large amounts of decaying wood. The trap was next to a large fallen tree (Fagara macrophylla 48cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
Trap by large fallen tree trunk (quite solid wood), CC slopes. Fairly closed canopy except round trap where fallen tree has opened the canopy a bit.Trap spans a passage in the undergrowth which crosses the trunk, and is touching the trunk at one end, Quite a few insects were flying along this route. This is also waypoint 187: CC slope. Lots of tall trees of varying kinds, but also fallen trunks and a surprising amount of light reaching the ground. As a result, also lots of saplings and undergrowth - some of the plants I haven’t seen elsewhere. Some insects flying, and there was also a kääpä (bracket fungus?) with flies landing and mating. Photos taken of the site and of the flies, plus a video of the flies.",,0.549693,30.367301,Wgs84,Gps,1454.192017,,Uganda,Kabarole district,10.03.2015 09:30 - 24.03.2015 09:30,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1251,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1957,GX.1986,GX.1998,,Ok,CCT1-150324-010,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT1-150324,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",10.03.2015,24.03.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Tall closed canopy primary forest on a mild slope towards the river. Red clay underfoot. Fallen trees allowed some light to reach the forest floor, resulting in a lush undergrowth around the trap and large amounts of decaying wood. The trap was next to a large fallen tree (Fagara macrophylla 48cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
Trap by large fallen tree trunk (quite solid wood), CC slopes. Fairly closed canopy except round trap where fallen tree has opened the canopy a bit.Trap spans a passage in the undergrowth which crosses the trunk, and is touching the trunk at one end, Quite a few insects were flying along this route. This is also waypoint 187: CC slope. Lots of tall trees of varying kinds, but also fallen trunks and a surprising amount of light reaching the ground. As a result, also lots of saplings and undergrowth - some of the plants I haven’t seen elsewhere. Some insects flying, and there was also a kääpä (bracket fungus?) with flies landing and mating. Photos taken of the site and of the flies, plus a video of the flies.",,0.549693,30.367301,Wgs84,Gps,1454.192017,,Uganda,Kabarole district,10.03.2015 09:30 - 24.03.2015 09:30,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1252,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1951,GX.1984,GX.1998,,Ok,K30T2-150826-001,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30T2-150826,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",11.08.2015,26.08.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest. Trap was next to a large tree (Aningeria altissima 285cm diameter, not Parinari as originally identified).

Original trap site description (verbatim as written in Uganda 2014): 
Near K30-14, on slope. There is a trail (of sorts, now probably unused) which passes next to a very large Parinari tree - the trap is on this trail next to the tree so anything flying along this passage will have the trap ahead, the tree to one side and some foliage / undergrowth to the other. Also a Strambosi (?) tree nearby.",,0.556624,30.363305,Wgs84,Gps,1487.849976,,Uganda,Kabarole district,11.08.2015 12:23 - 26.08.2015 12:00,Fort Portal,Kibale National Park,Malaise,"Site K30, Malaise trap K30T2, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1257,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1951,GX.1984,GX.1998,,Ok,K30T2-150914-001,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30T2-150914,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",09.09.2015,14.09.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest. Trap was next to a large tree (Aningeria altissima 285cm diameter, not Parinari as originally identified).

Original trap site description (verbatim as written in Uganda 2014): 
Near K30-14, on slope. There is a trail (of sorts, now probably unused) which passes next to a very large Parinari tree - the trap is on this trail next to the tree so anything flying along this passage will have the trap ahead, the tree to one side and some foliage / undergrowth to the other. Also a Strambosi (?) tree nearby.",,0.556624,30.363305,Wgs84,Gps,1487.849976,,Uganda,Kabarole district,09.09.2015 09:20 - 14.09.2015 11:08,Fort Portal,Kibale National Park,Malaise,"Site K30, Malaise trap K30T2, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1258,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1951,GX.1984,GX.1998,,Ok,K30T2-150914-002,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30T2-150914,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",09.09.2015,14.09.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest. Trap was next to a large tree (Aningeria altissima 285cm diameter, not Parinari as originally identified).

Original trap site description (verbatim as written in Uganda 2014): 
Near K30-14, on slope. There is a trail (of sorts, now probably unused) which passes next to a very large Parinari tree - the trap is on this trail next to the tree so anything flying along this passage will have the trap ahead, the tree to one side and some foliage / undergrowth to the other. Also a Strambosi (?) tree nearby.",,0.556624,30.363305,Wgs84,Gps,1487.849976,,Uganda,Kabarole district,09.09.2015 09:20 - 14.09.2015 11:08,Fort Portal,Kibale National Park,Malaise,"Site K30, Malaise trap K30T2, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,1259,2022-07-24T22:04:48+0300,HR.1648,GX.1930,GX.1931,GX.1973,GX.1991,GX.1998,,Ok,R93T1-150309-001,Ok,172/20/BOX1,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.R93T1-150309,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",23.02.2015,09.03.2015,"Regenerating forest, former plantation that was logged and left to regenerate to rainforest (clear cut 1987-1994). 

Trap site description:
Semi-closed canopy forest with fairly dense undergrowth (Aframomum sp., ferns etc.).

Original trap site description (verbatim as written in Uganda 2014): 
Trap in old successional forest. Quite tall trees (30m?) though slender, and lots of undergrowth still present. Trap by the side of a natural 'passage'. May consider moving it by a few metres depending on what the catch is.",,0.565347,30.3568,Wgs84,Gps,1506.482788,,Uganda,Kabarole district,23.02.2015 11:02 - 09.03.2015 12:00,Fort Portal,Kibale National Park,Malaise,"Site R93, Malaise trap R93T1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa quagga,"Hopkins et al., 2019","Hopkins, Tapani",,,,,,,
utu:ZMUT,1260,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1973,GX.1991,GX.1998,,Ok,R93T1-150309-002,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.R93T1-150309,Pinned,,english,Left middle leg placed in tube with 80% ethanol and frozen,"Hopkins, Tapani",23.02.2015,09.03.2015,"Regenerating forest, former plantation that was logged and left to regenerate to rainforest (clear cut 1987-1994). 

Trap site description:
Semi-closed canopy forest with fairly dense undergrowth (Aframomum sp., ferns etc.).

Original trap site description (verbatim as written in Uganda 2014): 
Trap in old successional forest. Quite tall trees (30m?) though slender, and lots of undergrowth still present. Trap by the side of a natural 'passage'. May consider moving it by a few metres depending on what the catch is.",,0.565347,30.3568,Wgs84,Gps,1506.482788,,Uganda,Kabarole district,23.02.2015 11:02 - 09.03.2015 12:00,Fort Portal,Kibale National Park,Malaise,"Site R93, Malaise trap R93T1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
