"","name","event","forest_type","site","colour","latitude","longitude","elevation","deadwood","livewood","canopy_open"
"1","CCT1","Uganda 2014-2015","primary","CC","darkgreen",0.549693,30.367301,1454.192017,0.270429829768271,0.115760537420752,15.86
"2","CCT2 / CCT4","Uganda 2014-2015","primary","CC","darkgreen",0.548622,30.368028,1463.366211,0.0581062301587302,1.78675035518112,0.26
"3","HILLT1","Uganda 2014-2015","primary","HILL","darkgreen",0.548582,30.361364,1517.241577,0.229076622799423,0.072851211591161,17.16
"4","HILLT2","Uganda 2014-2015","primary","HILL","darkgreen",0.547764,30.361868,1511.120117,0.0555164233333333,0.181377108572675,0.26
"5","K30ST2","Uganda 2014-2015","primary","K30S","darkgreen",0.539231,30.377096,1479.471313,0.0210300416666667,3.45417229449493,0
"6","K30ST3","Uganda 2014-2015","primary","K30S","darkgreen",0.537762,30.377692,1483.817505,0.298681333333333,0.201032406984899,0.52
"7","K30T1","Uganda 2014-2015","primary","K30","darkgreen",0.553325,30.362964,1493.41394,0.0396687361111111,0.0774104882598652,0
"8","K30T2","Uganda 2014-2015","primary","K30","darkgreen",0.556624,30.363305,1487.849976,0.0302416642743222,2.77364001615155,0.52
"9","K30T3","Uganda 2014-2015","primary","K30","darkgreen",0.559002,30.36168,1544.696533,0.0349013849714537,0.280487387946809,1.04
"10","K31T1","Uganda 2014-2015","primary","K31","darkgreen",0.544028,30.350252,1497.122803,0.0276475,0.480834786347207,3.12
"11","K31T4","Uganda 2014-2015","primary","K31","darkgreen",0.536218,30.348649,1462.587524,0.0305635579365079,0.456555974775703,0.26
"12","R93T2","Uganda 2014-2015","primary","R93","darkgreen",0.565384,30.359315,1507.948242,0.0311865263569196,0.173185706763011,22.36
"13","CCT3","Uganda 2014-2015","swamp","CC","blue",0.548054,30.370959,1439.486328,0.0171697072896144,0.0226666339737189,31.72
"14","K30ST1 / K30ST4","Uganda 2014-2015","swamp","K30S","blue",0.541415,30.375467,1433.519897,0.00531595807453416,0.248429258249791,0
"15","K30T4 / K30T5","Uganda 2014-2015","swamp","K30","blue",0.556713,30.360475,1464.727539,0.047396401363212,0.0294659564578537,0
"16","K31T2","Uganda 2014-2015","swamp","K31","blue",0.542691,30.348186,1455.981323,0.029412815018315,0.180476424933844,0.26
"17","K31T3","Uganda 2014-2015","swamp","K31","blue",0.535964,30.346885,1448.944702,0.00941122222222222,0.0755335066666667,4.42
"18","K13T1","Uganda 2014-2015","disturbed","K13","green",0.593165,30.359836,1463.622559,0.0152582447076545,0.0868785489399043,5.98
"19","K13T2","Uganda 2014-2015","disturbed","K13","green",0.595484,30.360468,1461.991333,0,0.0005041,3.64
